tweet_id_question,author_id_question,inbound_question,created_at_question,text_question,response_tweet_id_question,in_response_to_tweet_id_question,tweet_id_answer,author_id_answer,inbound_answer,created_at_answer,text_answer,response_tweet_id_answer,in_response_to_tweet_id_answer
3.0,115712,True,Tue Oct 31 22:08:27 +0000 2017,i have sent several private messages and no one is responding as usual,1,4.0,1.0,sprintcare,False,Tue Oct 31 22:10:47 +0000 2017,i understand. i would like to assist you. we would need to get you into a private secured link to further assist.,2,3.0
5.0,115712,True,Tue Oct 31 21:49:35 +0000 2017,i did.,4,6.0,4.0,sprintcare,False,Tue Oct 31 21:54:49 +0000 2017,please send us a private message so that we can further assist you. just click message at the top of your profile.,3,5.0
8.0,115712,True,Tue Oct 31 21:45:10 +0000 2017,is the worst customer service,"9,6,10",nan,6.0,sprintcare,False,Tue Oct 31 21:46:24 +0000 2017,"can you please send us a private message, so that i can gain further details about your account?","5,7",8.0
16.0,115713,True,Tue Oct 31 20:00:43 +0000 2017,since i signed up with you....since day 1,15,17.0,15.0,sprintcare,False,Tue Oct 31 20:03:31 +0000 2017,"we understand your concerns and we'd like for you to please send us a direct message, so that we can further assist you. aa",12,16.0
18.0,115713,True,Tue Oct 31 19:56:01 +0000 2017,"y all lie about your great connection. 5 bars lte, still won t load something. smh.",17,nan,17.0,sprintcare,False,Tue Oct 31 19:59:13 +0000 2017,"h there! we'd definitely like to work with you on this, how long have you been experiencing this issue? aa",16,18.0
22.0,115716,True,Tue Oct 31 22:16:48 +0000 2017,would you like me to email you a copy of one since spectrum is not updating your training?,25,21.0,25.0,Ask_Spectrum,False,Tue Oct 31 22:18:28 +0000 2017,"our department is part of the corporate office. if you're particular area has gone to this format, we were unawa...",26,22.0
24.0,115716,True,Tue Oct 31 22:13:02 +0000 2017,that is incorrect information i have the form in front of me that is faxed over maybe you need to maintain up to date information,21,28.0,21.0,Ask_Spectrum,False,Tue Oct 31 22:14:37 +0000 2017,what information is incorrect? jk,"22,23",24.0
29.0,115716,True,Tue Oct 31 22:01:35 +0000 2017,actually that's a broken link you sent me and incorrect information,28,nan,28.0,Ask_Spectrum,False,Tue Oct 31 22:05:37 +0000 2017,the information pertaining to the account assumption is correct. this does need to be done at a local outlet wit...,24,29.0
36.0,115719,True,Tue Oct 31 22:10:46 +0000 2017,somebody from please help meeeeee i'm having the worst luck with your customer service,34,nan,34.0,VerizonSupport,False,Tue Oct 31 22:13:33 +0000 2017,help has arrived! we are sorry to see that you are having trouble. how can we help? hsb,35,36.0
41.0,115721,True,Tue Oct 31 22:24:55 +0000 2017,what else can i provide? they refuse to help me because they cannot validate the account...,43,40.0,43.0,VerizonSupport,False,Tue Oct 31 22:29:00 +0000 2017,we would not be able to verify anything without authenticating your account. jay,44,41.0
42.0,115721,True,Tue Oct 31 22:06:21 +0000 2017,md. and this was sent to the wrong address,40,46.0,40.0,VerizonSupport,False,Tue Oct 31 22:12:00 +0000 2017,please follow and dm us so that we can look into this order. hsb,41,42.0
53.0,115723,True,Tue Oct 31 21:58:39 +0000 2017,just randomly boots me offline there it goes again,52,54.0,52.0,VerizonSupport,False,Tue Oct 31 22:03:57 +0000 2017,did the lights change on the router when this happened? jay,51,53.0
55.0,115723,True,Tue Oct 31 20:09:13 +0000 2017,yep,54,56.0,54.0,VerizonSupport,False,Tue Oct 31 20:11:54 +0000 2017,"do you have our fios service? when services go out, does the internet light on the router change color? bcw",53,55.0
57.0,115723,True,Tue Oct 31 19:58:22 +0000 2017,cuts out every 20 minutes this is ridiculous,56,58.0,56.0,VerizonSupport,False,Tue Oct 31 20:02:25 +0000 2017,are all your services cutting out? acm,55,57.0
